id,description,source,book_id,cover_url
1,"The Hunger Games (The Hunger Games, #1) 
https://images.gr-assets.com/books/1447303603m/2767052.jpg",0,1,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1) 
https://images.gr-assets.com/books/1474154022m/3.jpg",0,2,https://images.gr-assets.com/books/1474154022m/3.jpg
3,"Twilight (Twilight, #1) 
https://images.gr-assets.com/books/1361039443m/41865.jpg",0,3,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,"To Kill a Mockingbird 
https://images.gr-assets.com/books/1361975680m/2657.jpg",0,4,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,"The Great Gatsby 
https://images.gr-assets.com/books/1490528560m/4671.jpg",0,5,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,"The Fault in Our Stars 
https://images.gr-assets.com/books/1360206420m/11870085.jpg",0,6,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,"The Hobbit 
https://images.gr-assets.com/books/1372847500m/5907.jpg",0,7,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,"The Catcher in the Rye 
https://images.gr-assets.com/books/1398034300m/5107.jpg",0,8,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,"Angels & Demons  (Robert Langdon, #1) 
https://images.gr-assets.com/books/1303390735m/960.jpg",0,9,https://images.gr-assets.com/books/1303390735m/960.jpg
10,"Pride and Prejudice 
https://images.gr-assets.com/books/1320399351m/1885.jpg",0,10,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,"The Kite Runner 
https://images.gr-assets.com/books/1484565687m/77203.jpg",0,11,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,"Divergent (Divergent, #1) 
https://images.gr-assets.com/books/1328559506m/13335037.jpg",0,12,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,"1984 
https://images.gr-assets.com/books/1348990566m/5470.jpg",0,13,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,"Animal Farm 
https://images.gr-assets.com/books/1424037542m/7613.jpg",0,14,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,"The Diary of a Young Girl 
https://images.gr-assets.com/books/1358276407m/48855.jpg",0,15,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,"The Girl with the Dragon Tattoo (Millennium, #1) 
https://images.gr-assets.com/books/1327868566m/2429135.jpg",0,16,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,"Catching Fire (The Hunger Games, #2) 
https://images.gr-assets.com/books/1358273780m/6148028.jpg",0,17,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) 
https://images.gr-assets.com/books/1499277281m/5.jpg",0,18,https://images.gr-assets.com/books/1499277281m/5.jpg
19,"The Fellowship of the Ring (The Lord of the Rings, #1) 
https://images.gr-assets.com/books/1298411339m/34.jpg",0,19,https://images.gr-assets.com/books/1298411339m/34.jpg
20,"Mockingjay (The Hunger Games, #3) 
https://images.gr-assets.com/books/1358275419m/7260188.jpg",0,20,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5) 
https://images.gr-assets.com/books/1387141547m/2.jpg",0,21,https://images.gr-assets.com/books/1387141547m/2.jpg
22,"The Lovely Bones 
https://images.gr-assets.com/books/1457810586m/12232938.jpg",0,22,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2) 
https://images.gr-assets.com/books/1474169725m/15881.jpg",0,23,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4) 
https://images.gr-assets.com/books/1361482611m/6.jpg",0,24,https://images.gr-assets.com/books/1361482611m/6.jpg
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7) 
https://images.gr-assets.com/books/1474171184m/136251.jpg",0,25,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,"The Da Vinci Code (Robert Langdon, #2) 
https://images.gr-assets.com/books/1303252999m/968.jpg",0,26,https://images.gr-assets.com/books/1303252999m/968.jpg
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6) 
https://images.gr-assets.com/books/1361039191m/1.jpg",0,27,https://images.gr-assets.com/books/1361039191m/1.jpg
28,"Lord of the Flies 
https://images.gr-assets.com/books/1327869409m/7624.jpg",0,28,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,"Romeo and Juliet 
https://images.gr-assets.com/books/1327872146m/18135.jpg",0,29,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,"Gone Girl 
https://images.gr-assets.com/books/1339602131m/8442457.jpg",0,30,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,"The Help 
https://images.gr-assets.com/books/1346100365m/4667024.jpg",0,31,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,"Of Mice and Men 
https://images.gr-assets.com/books/1437235233m/890.jpg",0,32,https://images.gr-assets.com/books/1437235233m/890.jpg
33,"Memoirs of a Geisha 
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",0,33,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,"Fifty Shades of Grey (Fifty Shades, #1) 
https://images.gr-assets.com/books/1385207843m/10818853.jpg",0,34,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,"The Alchemist 
https://images.gr-assets.com/books/1483412266m/865.jpg",0,35,https://images.gr-assets.com/books/1483412266m/865.jpg
36,"The Giver (The Giver, #1) 
https://images.gr-assets.com/books/1342493368m/3636.jpg",0,36,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) 
https://images.gr-assets.com/books/1353029077m/100915.jpg",0,37,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,"The Time Traveler's Wife 
https://images.gr-assets.com/books/1437728815m/14050.jpg",0,38,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,"A Game of Thrones (A Song of Ice and Fire, #1) 
https://images.gr-assets.com/books/1436732693m/13496.jpg",0,39,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,"Eat, Pray, Love 
https://images.gr-assets.com/books/1503066414m/19501.jpg",0,40,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,"The Lightning Thief (Percy Jackson and the Olympians, #1) 
https://images.gr-assets.com/books/1400602609m/28187.jpg",0,41,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,"Little Women (Little Women, #1) 
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",0,42,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,"Jane Eyre 
https://images.gr-assets.com/books/1327867269m/10210.jpg",0,43,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,"The Notebook (The Notebook, #1) 
https://images.gr-assets.com/books/1385738917m/15931.jpg",0,44,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,"Life of Pi 
https://images.gr-assets.com/books/1320562005m/4214.jpg",0,45,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,"Water for Elephants 
https://images.gr-assets.com/books/1494428973m/43641.jpg",0,46,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,"The Book Thief 
https://images.gr-assets.com/books/1390053681m/19063.jpg",0,47,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,"Fahrenheit 451 
https://images.gr-assets.com/books/1351643740m/4381.jpg",0,48,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,"New Moon (Twilight, #2) 
https://images.gr-assets.com/books/1361039440m/49041.jpg",0,49,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,"Where the Sidewalk Ends 
https://images.gr-assets.com/books/1168052448m/30119.jpg",0,50,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,"City of Bones (The Mortal Instruments, #1) 
https://images.gr-assets.com/books/1432730315m/256683.jpg",0,51,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,"Eclipse (Twilight, #3) 
https://images.gr-assets.com/books/1361038355m/428263.jpg",0,52,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,"Eragon (The Inheritance Cycle, #1) 
https://images.gr-assets.com/books/1366212852m/113436.jpg",0,53,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) 
https://images.gr-assets.com/books/1327656754m/11.jpg",0,54,https://images.gr-assets.com/books/1327656754m/11.jpg
55,"Brave New World 
https://images.gr-assets.com/books/1487389574m/5129.jpg",0,55,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,"Breaking Dawn (Twilight, #4) 
https://images.gr-assets.com/books/1361039438m/1162543.jpg",0,56,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,"The Secret Life of Bees 
https://images.gr-assets.com/books/1473454532m/37435.jpg",0,57,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,"The Adventures of Huckleberry Finn 
https://images.gr-assets.com/books/1405973850m/2956.jpg",0,58,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,"Charlotte's Web 
https://images.gr-assets.com/books/1439632243m/24178.jpg",0,59,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,"The Curious Incident of the Dog in the Night-Time 
https://images.gr-assets.com/books/1479863624m/1618.jpg",0,60,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,"The Girl on the Train 
https://images.gr-assets.com/books/1490903702m/22557272.jpg",0,61,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,"The Golden Compass (His Dark Materials, #1) 
https://images.gr-assets.com/books/1451271747m/119322.jpg",0,62,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,"Wuthering Heights 
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",0,63,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,"My Sister's Keeper 
https://images.gr-assets.com/books/1369504683m/10917.jpg",0,64,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,"Slaughterhouse-Five 
https://images.gr-assets.com/books/1440319389m/4981.jpg",0,65,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,"Gone with the Wind 
https://images.gr-assets.com/books/1328025229m/18405.jpg",0,66,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,"A Thousand Splendid Suns 
https://images.gr-assets.com/books/1345958969m/128029.jpg",0,67,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,"The Perks of Being a Wallflower 
https://images.gr-assets.com/books/1167352178m/22628.jpg",0,68,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,"Insurgent (Divergent, #2) 
https://images.gr-assets.com/books/1325667729m/11735983.jpg",0,69,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,"Ender's Game (Ender's Saga, #1) 
https://images.gr-assets.com/books/1408303130m/375802.jpg",0,70,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,"Frankenstein 
https://images.gr-assets.com/books/1381512375m/18490.jpg",0,71,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,"The Shining (The Shining #1) 
https://images.gr-assets.com/books/1353277730m/11588.jpg",0,72,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,"The Host (The Host, #1) 
https://images.gr-assets.com/books/1318009171m/1656001.jpg",0,73,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,"Looking for Alaska 
https://images.gr-assets.com/books/1394798630m/99561.jpg",0,74,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,"Bridget Jones's Diary (Bridget Jones, #1) 
https://images.gr-assets.com/books/1292060045m/227443.jpg",0,75,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,"Sense and Sensibility 
https://images.gr-assets.com/books/1397245675m/14935.jpg",0,76,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,"Holes (Holes, #1) 
https://images.gr-assets.com/books/1327781893m/38709.jpg",0,77,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,"The Devil Wears Prada (The Devil Wears Prada, #1) 
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",0,78,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,"The Odyssey 
https://images.gr-assets.com/books/1390173285m/1381.jpg",0,79,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,"The Little Prince 
https://images.gr-assets.com/books/1367545443m/157993.jpg",0,80,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,"The Glass Castle 
https://images.gr-assets.com/books/1400930557m/7445.jpg",0,81,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,"Into the Wild 
https://images.gr-assets.com/books/1403173986m/1845.jpg",0,82,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,"A Tale of Two Cities 
https://images.gr-assets.com/books/1344922523m/1953.jpg",0,83,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,"Jurassic Park (Jurassic Park, #1) 
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",0,84,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,"The Giving Tree 
https://images.gr-assets.com/books/1174210942m/370493.jpg",0,85,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,"A Time to Kill 
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png",0,86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,"Night (The Night Trilogy #1) 
https://images.gr-assets.com/books/1473495285m/1617.jpg",0,87,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,"Paper Towns 
https://images.gr-assets.com/books/1349013610m/6442769.jpg",0,88,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,"The Princess Bride  
https://images.gr-assets.com/books/1327903636m/21787.jpg",0,89,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,"The Outsiders 
https://images.gr-assets.com/books/1442129426m/231804.jpg",0,90,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,"The Maze Runner (Maze Runner, #1) 
https://images.gr-assets.com/books/1375596592m/6186357.jpg",0,91,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1) 
https://images.gr-assets.com/books/1327909092m/1202.jpg",0,92,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,"The Secret Garden 
https://images.gr-assets.com/books/1327873635m/2998.jpg",0,93,https://images.gr-assets.com/books/1327873635m/2998.jpg
