id,author,name,serial_number
1,Suzanne Collins,The Hunger Games,439023483
2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,439554934
3,Stephenie Meyer,Twilight,316015849
4,Harper Lee,To Kill a Mockingbird,61120081
5,F. Scott Fitzgerald,The Great Gatsby,743273567
6,John Green,The Fault in Our Stars,525478817
7,J.R.R. Tolkien,The Hobbit or There and Back Again,618260307
8,J.D. Salinger,The Catcher in the Rye,316769177
9,Dan Brown,Angels & Demons ,1416524797
10,Jane Austen,Pride and Prejudice,679783261
11,Khaled Hosseini,The Kite Runner ,1594480001
12,Veronica Roth,Divergent,62024035
13,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,451524934
14,George Orwell,Animal Farm: A Fairy Story,452284244
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,553296981
16,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,307269752
17,Suzanne Collins,Catching Fire,439023491
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,043965548X
19,J.R.R. Tolkien, The Fellowship of the Ring,618346252
20,Suzanne Collins,Mockingjay,439023513
21,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,439358078
22,Alice Sebold,The Lovely Bones,316166685
23,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,439064864
24,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,439139600
25,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,545010225
26,Dan Brown,The Da Vinci Code,307277674
27,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,439785960
28,William Golding,Lord of the Flies ,140283331
29,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,743477111
30,Gillian Flynn,Gone Girl,297859382
31,Kathryn Stockett,The Help,399155341
32,John Steinbeck,Of Mice and Men ,142000671
33,Arthur Golden,Memoirs of a Geisha,739326228
34,E.L. James,Fifty Shades of Grey,1612130291
35,"Paulo Coelho, Alan R. Clarke",O Alquimista,61122416
36,Lois Lowry,The Giver,385732554
37,C.S. Lewis,"The Lion, the Witch and the Wardrobe",60764899
38,Audrey Niffenegger,The Time Traveler's Wife,965818675
39,George R.R. Martin,A Game of Thrones,553588486
40,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",143038419
41,Rick Riordan,The Lightning Thief,786838655
42,Louisa May Alcott,Little Women,451529308
43,"Charlotte Brontë, Michael Mason",Jane Eyre,142437204
44,Nicholas Sparks,The Notebook,553816713
45,Yann Martel,Life of Pi,770430074
46,Sara Gruen,Water for Elephants,1565125606
47,Markus Zusak,The Book Thief,375831002
48,Ray Bradbury,Fahrenheit 451,307347974
49,Stephenie Meyer,"New Moon (Twilight, #2)",316160199
50,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,60513039
51,Cassandra Clare,City of Bones,1416914285
52,Stephenie Meyer,Eclipse,316160202
53,Christopher Paolini,Eragon,375826696
54,Douglas Adams,The Hitchhiker's Guide to the Galaxy,345391802
55,Aldous Huxley,Brave New World,60929871
56,Stephenie Meyer,Breaking Dawn,031606792X
57,Sue Monk Kidd,The Secret Life of Bees,142001740
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,142437174
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,64410935
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,1400032717
61,Paula Hawkins,The Girl on the Train,1594633665
62,Philip Pullman,Northern Lights,679879242
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,393978893
64,Jodi Picoult,My Sister's Keeper,743454537
65,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",385333846
66,Margaret Mitchell,Gone with the Wind,446675539
67,Khaled Hosseini,A Thousand Splendid Suns,1594489505
68,Stephen Chbosky,The Perks of Being a Wallflower,671027344
69,Veronica Roth,Insurgent,7442912
70,Orson Scott Card,Ender's Game,812550706
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",141439475
72,Stephen King,The Shining,450040186
73,Stephenie Meyer,The Host,316068047
74,John Green,Looking for Alaska,142402516
75,Helen Fielding,,014028009X
