id,name,book_detail_id
1,Children's Books,1
2,Spine-Chilling Horror,1
3,Genealogy,1
4,"Words, Language & Grammar",1
5,Foreign Language Study & Reference,1
6,Atlases & Maps,1
7,Test Preparation,1
8,Survival & Emergency Preparedness,1
9,Careers,1
10,Almanacs & Yearbooks,1
11,Quotations,1
12,Dictionaries & Thesauruses,1
13,"Writing, Research & Publishing Guides",1
14,Catalogs & Directories,1
15,Cartoons,1
16,Jokes & Riddles,1
17,Etiquette,1
18,Encyclopedias & Subject Guides,1
19,Science Fiction & Fantasy,1
20,Humor,1
21,Consumer Guides,1
22,Reference,1
23,Romance,2
24,Literature & Fiction,2
25,Mothers & Children,3
26,Literature & Fiction,3
27,Friendship,3
28,Women's Fiction,3
29,African American,3
30,Genre Fiction,3
31,Classics,3
32,Family Saga,3
33,Hispanic,3
34,Poetry,3
35,Humor,3
36,Literary,3
37,Asian American,3
38,Drama,3
39,Anthologies,3
40,Native American,3
41,Horror,4
42,Science Fiction & Fantasy,4
43,Teen & Young Adult,4
44,Humorous,4
45,Literature & Fiction,4
46,Erotic Horror,5
47,"Mystery, Thriller & Suspense",5
48,Literature & Fiction,5
49,Horror,5
50,Thrillers & Suspense,5
51,Genre Fiction,5
52,Suspense,5
53,Dark Fantasy,5
54,Ghosts,5
55,British & Irish,5
56,Occult,5
57,Anthologies,5
58,Reference,5
59,Vampires,5
60,Children's Books,6
61,Science Fiction & Fantasy,6
62,Spine-Chilling Horror,6
63,Horror,7
64,Teen & Young Adult,7
65,Science Fiction & Fantasy,7
66,Literary Criticism & Collections,8
67,Children's Books,8
68,Chapter Books & Readers,8
69,Literature & Fiction,8
70,Multigenerational,8
71,Short Story Collections,8
72,Family Life,8
73,Poetry,8
74,Growing Up & Facts of Life,8
75,Historical Fiction,8
76,Religious Fiction,8
77,Friendship,9
78,Jokes & Riddles,9
79,Cartoons,9
80,Self-Esteem & Self-Respect,9
81,Children's Books,9
82,Growing Up & Facts of Life,9
83,Humor,9
84,"Friendship, Social Skills & School Life",9
85,Business & Investing,10
86,Children's Books,10
87,Education & Reference,10
88,"Crafts, Hobbies & Home",10
89,"Mystery, Thriller & Suspense",10
90,Literature & Fiction,10
91,Politics & Social Sciences,10
92,Medical Books,10
93,Professional & Technical,10
94,Humor & Entertainment,10
95,"Cookbooks, Food & Wine",10
96,Sports & Outdoors,10
97,Self-Help,10
98,"Health, Fitness & Dieting",10
99,Comics & Graphic Novels,10
100,Science Fiction & Fantasy,10
101,Science & Math,10
102,Religion & Spirituality,10
103,History,10
104,Christian Books & Bibles,10
105,Parenting & Relationships,10
106,Law,10
107,Computers & Technology,10
108,Romance,10
109,Gay & Lesbian,10
110,Arts & Photography,10
111,Calendars,10
112,Travel,10
113,Teen & Young Adult,10
114,Biographies & Memoirs,10
115,Literature & Fiction,11
116,African American,11
117,Genre Fiction,11
118,Classics,11
119,Hispanic,11
120,Poetry,11
121,Humor,11
122,Sports,11
123,Literary,11
124,Asian American,11
125,Anthologies,11
126,Drama,11
127,Native American,11
128,Children's Books,12
129,Fantasy & Magic,12
130,Science Fiction & Fantasy,12
131,Short Stories & Anthologies,12
132,Thrillers & Suspense,12
133,Short Stories,12
134,Suspense,12
135,"Mystery, Thriller & Suspense",12
136,Literature & Fiction,12
137,20th Century,13
138,Prejudice & Racism,13
139,Classics,13
140,Historical Fiction,13
141,Teen & Young Adult,13
142,Social & Family Issues,13
143,Literature & Fiction,13
