id,name,book_detail_id
,Children's Books,1
,Spine-Chilling Horror,1
,Genealogy,1
,"Words, Language & Grammar",1
,Foreign Language Study & Reference,1
,Atlases & Maps,1
,Test Preparation,1
,Survival & Emergency Preparedness,1
,Careers,1
,Almanacs & Yearbooks,1
,Quotations,1
,Dictionaries & Thesauruses,1
,"Writing, Research & Publishing Guides",1
,Catalogs & Directories,1
,Cartoons,1
,Jokes & Riddles,1
,Etiquette,1
,Encyclopedias & Subject Guides,1
,Science Fiction & Fantasy,1
,Humor,1
,Consumer Guides,1
,Reference,1
,Romance,2
,Literature & Fiction,2
,Mothers & Children,3
,Literature & Fiction,3
,Friendship,3
,Women's Fiction,3
,African American,3
,Genre Fiction,3
,Classics,3
,Family Saga,3
,Hispanic,3
,Poetry,3
,Humor,3
,Literary,3
,Asian American,3
,Drama,3
,Anthologies,3
,Native American,3
,Horror,4
,Science Fiction & Fantasy,4
,Teen & Young Adult,4
,Humorous,4
,Literature & Fiction,4
,Erotic Horror,5
,"Mystery, Thriller & Suspense",5
,Literature & Fiction,5
,Horror,5
,Thrillers & Suspense,5
,Genre Fiction,5
,Suspense,5
,Dark Fantasy,5
,Ghosts,5
,British & Irish,5
,Occult,5
,Anthologies,5
,Reference,5
,Vampires,5
,Children's Books,6
,Science Fiction & Fantasy,6
,Spine-Chilling Horror,6
,Horror,7
,Teen & Young Adult,7
,Science Fiction & Fantasy,7
,Literary Criticism & Collections,8
,Children's Books,8
,Chapter Books & Readers,8
,Literature & Fiction,8
,Multigenerational,8
,Short Story Collections,8
,Family Life,8
,Poetry,8
,Growing Up & Facts of Life,8
,Historical Fiction,8
,Religious Fiction,8
,Friendship,9
,Jokes & Riddles,9
,Cartoons,9
,Self-Esteem & Self-Respect,9
,Children's Books,9
,Growing Up & Facts of Life,9
,Humor,9
,"Friendship, Social Skills & School Life",9
,Business & Investing,10
,Children's Books,10
,Education & Reference,10
,"Crafts, Hobbies & Home",10
,"Mystery, Thriller & Suspense",10
,Literature & Fiction,10
,Politics & Social Sciences,10
,Medical Books,10
,Professional & Technical,10
,Humor & Entertainment,10
,"Cookbooks, Food & Wine",10
,Sports & Outdoors,10
,Self-Help,10
,"Health, Fitness & Dieting",10
,Comics & Graphic Novels,10
,Science Fiction & Fantasy,10
,Science & Math,10
,Religion & Spirituality,10
,History,10
,Christian Books & Bibles,10
,Parenting & Relationships,10
,Law,10
,Computers & Technology,10
,Romance,10
,Gay & Lesbian,10
,Arts & Photography,10
,Calendars,10
,Travel,10
,Teen & Young Adult,10
,Biographies & Memoirs,10
,Literature & Fiction,11
,African American,11
,Genre Fiction,11
,Classics,11
,Hispanic,11
,Poetry,11
,Humor,11
,Sports,11
,Literary,11
,Asian American,11
,Anthologies,11
,Drama,11
,Native American,11
,Children's Books,12
,Fantasy & Magic,12
,Science Fiction & Fantasy,12
,Short Stories & Anthologies,12
,Thrillers & Suspense,12
,Short Stories,12
,Suspense,12
,"Mystery, Thriller & Suspense",12
,Literature & Fiction,12
,20th Century,13
,Prejudice & Racism,13
,Classics,13
,Historical Fiction,13
,Teen & Young Adult,13
,Social & Family Issues,13
,Literature & Fiction,13
